"RG","TG","COEF","RE"
"PIK3CB","WNT16","0.246797993083667","2.8660834646929"
"GSK3B","WNT16","0.248348035149578","2.99593781100804"
"MAPK1","WNT16","0.293300280586093","3.86687693420307"
"FGF9","WNT16","0.31061053040496","1.76603165436703"
"WNT2","WNT16","0.273973643955071","2.14859354791679"
"E2F3","WNT16","0.320844666370931","3.16031027516208"
"AKT3","WNT16","0.327981670241728","3.90694119094526"
"PIK3R3","WNT16","0.333299388728777","3.96605249463576"
"NCOA3","WNT16","0.24693372816291","2.93161040659379"
"KRAS","WNT16","0.33030502185321","3.64817106049359"
"WNT2B","WNT16","0.328194295854295","2.64286347491968"
"FGF5","WNT16","0.304343144892189","0.217160392135184"
"RB1","WNT16","0.252850083326426","3.00880108477109"
"FGF7","WNT16","0.272045966279837","2.9005810921602"
"SHC3","WNT16","0.301190817258942","2.56508654189747"
"TCF7L2","WNT16","0.268390367651656","3.17762121208086"
"FZD6","WNT16","0.26503935277365","3.01100458088815"
"NRAS","WNT16","0.311878134165495","3.63585718204561"
"CASP14","WNT16","0.277087496018688","0.797145067658355"
"UPK1A","WNT16","0.254528906457035","0.922737384653308"
"OGN","WNT16","0.372009362768877","4.65727354832332"
"PLA2G2D","WNT16","0.283249320863005","1.51644644813826"
"RARRES1","WNT16","0.242722758797974","2.71382523054912"
"CLEC10A","WNT16","0.257502358632021","2.25016396949188"
"IL33","WNT16","0.321395878538243","3.87256269159772"
"KIAA0319","WNT16","0.278520405656672","1.12998060709075"
"CXCL9","WNT16","0.3230084518666","2.84651686066621"
"KCNH1","WNT16","0.288052634337161","1.13935500068152"
"GPR26","WNT16","0.297298434204687","1.02233522725563"
"FCRL3","WNT16","0.308346993881094","1.48729451008539"
"CST2","WNT16","0.291885795687537","0.550553861703624"
"CST1","WNT16","0.272788105912596","0.340872436330763"
"CCR8","WNT16","0.312718685253798","0.649691728160781"
"IGHV3-7","WNT16","0.261613399841122","2.4930230779852"
"IGHV3-74","WNT16","0.24740360745548","2.26309485427977"
"IGKV2-24","WNT16","0.269738748272063","2.10202064314017"
"E2F2","DVL2","0.547009804315875","3.48347637081668"
"BRCA1","DVL2","0.482515028558327","4.40494105824914"
"IGF1","DVL2","-0.27368949203337","2.48740034819308"
"BAK1","DVL2","0.671514841126467","6.1627289336819"
"PIK3CB","DVL2","0.281803590426467","3.2726060723621"
"WNT8A","DVL2","0.572967358813027","0.750329032341723"
"LRP6","DVL2","0.494696598298188","6.03750217096241"
"FGF22","DVL2","0.246576782692161","0.690175355200021"
"NOTCH3","DVL2","0.318568220774378","4.31900994220455"
"WNT8B","DVL2","0.595868509197787","1.78896204524117"
"NFKB2","DVL2","0.756728106095202","8.28890285603284"
"FGFR1","DVL2","0.264343041342817","3.629397199695"
"ARAF","DVL2","0.372860920954965","4.41432980749978"
"FGF20","DVL2","0.370028643376849","1.05969318094216"
"TCF7","DVL2","0.752914640711611","8.00154993840762"
"PGR","DVL2","0.640213255711447","7.5013907512358"
"GSK3B","DVL2","0.491993238826492","5.93514317950141"
"NCOA1","DVL2","0.477431350971633","6.04981873558033"
"WNT11","DVL2","-0.403718378413967","3.66035982109703"
"BAX","DVL2","0.717825203672992","7.2143569545114"
"DLL3","DVL2","0.622475368581786","1.46674231433596"
"ESR1","DVL2","0.561444904210561","7.18137157449073"
"MAPK1","DVL2","0.489445640565993","6.45286139607132"
"SOS2","DVL2","0.305175037143971","3.69467422954306"
"E2F1","DVL2","0.421750220355567","3.20481532090987"
"AXIN1","DVL2","0.852346000019204","9.02893908382744"
"FZD3","DVL2","0.66495199087211","6.52307796451227"
"PIK3R2","DVL2","0.516579218259756","1.01376174941871"
"CDK6","DVL2","0.429604320944926","4.85575798043187"
"DVL1","DVL2","0.378621925589548","4.17087849254981"
"WNT3","DVL2","0.628472382303761","5.00354406716963"
"RPS6KB1","DVL2","0.37686154581978","4.2461175276989"
"CCND1","DVL2","0.333543108820888","4.45879311159059"
"WNT5B","DVL2","0.771135839779672","6.8577130991897"
"FZD10","DVL2","0.67239507751098","4.532739445753"
"E2F3","DVL2","0.474593015195339","4.67472686832195"
"FGF1","DVL2","0.673378237107816","7.81850199790163"
"CSNK1A1","DVL2","0.688502451038318","8.65848332949322"
"WNT5A","DVL2","0.534674057746578","5.42365267088123"
"HES1","DVL2","0.690318342301443","7.98105273209659"
"APC2","DVL2","0.699696274431808","4.89029099423987"
"WNT6","DVL2","0.678758627987953","4.10774418165151"
"GADD45A","DVL2","0.298058678801239","3.13932932918799"
"PIK3R3","DVL2","0.397224874683843","4.72672545599304"
"TNFSF11","DVL2","0.423925584981095","1.85196350095361"
"POLK","DVL2","0.254348500572751","2.68903637891867"
"NCOA3","DVL2","0.412095930879334","4.89242489662564"
"MAP2K2","DVL2","0.517698664327644","6.16726594923077"
"SHC2","DVL2","0.562547010365977","5.64613132097486"
"RAF1","DVL2","0.459682169419964","5.2593581091892"
"KRAS","DVL2","0.389765625130767","4.30490479981009"
"NOTCH2","DVL2","0.308463602902023","4.38665545840221"
"DDB2","DVL2","0.819378408614472","8.81956383586071"
"APC","DVL2","0.260055775164766","3.01598973512501"
"CDK4","DVL2","0.804184895093959","8.91966595370986"
"HEY2","DVL2","0.535392277093341","5.26984097365524"
"WNT10A","DVL2","0.663912423233479","3.84997774151828"
"MYC","DVL2","0.514269167672546","6.73800287267253"
"LEF1","DVL2","0.77413841755259","6.32888721162949"
"EGF","DVL2","0.568104387115267","5.40189088943186"
"BRCA2","DVL2","0.601137997097012","4.67348320831004"
"RB1","DVL2","0.321735107335685","3.82850156592921"
"ESR2","DVL2","-0.325706735857511","2.16654966145645"
"IGF1R","DVL2","0.778840907626822","10.1524710255527"
"TP53","DVL2","0.802808666355092","9.5641394839439"
"ERBB2","DVL2","0.758166756379201","10.0872570554893"
"AKT1","DVL2","0.590180996507351","7.29132879530657"
